precio,link,marca,titulo
"
                    $ 47.90                ,
                    $ 42.90                ",http://www.heb.com.mx/strohs-cerveza-light-355-ml-271861.html,STROHS,Cerveza Light 355 ml
$ 69.00,http://www.heb.com.mx/corona-cerveza-light-six-pack-tall-can-355-ml-273657.html,CORONA,Cerveza Light Six Pack Tall Can 355 ml
$ 165.00,http://www.heb.com.mx/miller-lite-cerveza-12-pack-nr-355-ml-273661.html,MILLER LITE,Cerveza 12 Pack Nr 355 ml
$ 55.90,http://www.heb.com.mx/fullers-cerveza-cerveza-inglesa-estilo-ale-500-ml-306310.html,FULLERS,Cerveza Cerveza Inglesa Estilo Ale 500 ml
$ 51.00,http://www.heb.com.mx/erdinger-cerveza-cerveza-alemana-trigo-oscur-500-ml-306315.html,ERDINGER,Cerveza Cerveza Alemana de Trigo Oscur 500 ml
$ 69.90,http://www.heb.com.mx/sapporo-cerveza-lata-650-ml-307577.html,SAPPORO,Cerveza Lata 650 ml
$ 163.00,http://www.heb.com.mx/coors-light-cerveza-doce-pack-media-nr-355-ml-307972.html,COORS LIGHT,Cerveza Doce Pack Media Nr 355 ml
$ 99.00,http://www.heb.com.mx/bohemia-cerveza-weizen-six-pack-med-nr-325-ml-309942.html,BOHEMIA,Cerveza Weizen Six Pack Med Nr 325 ml
$ 300.00,http://www.heb.com.mx/tecate-cerveza-light-24-pack-lata-355-ml-322857.html,TECATE,Cerveza Light 24 Pack Lata 355 ml
$ 51.00,http://www.heb.com.mx/erdinger-cerveza-weissbier-500-ml-326189.html,ERDINGER,Cerveza Weissbier 500 ml
$ 26.10,http://www.heb.com.mx/quilmes-cerveza-lager-argentina-340-ml-337111.html,QUILMES,Cerveza Lager Argentina 340 ml
$ 199.00,http://www.heb.com.mx/miller-lite-cerveza-18-pack-lata-355-ml-350448.html,MILLER LITE,Cerveza 18 Pack Lata 355 ml
$ 108.00,http://www.heb.com.mx/shiner-bock-cerveza-six-pack-nr-355-ml-35330.html,SHINER BOCK,Cerveza Six Pack Nr 355 ml
$ 41.50,http://www.heb.com.mx/tropical-cerveza-light-355-ml-355482.html,TROPICAL,Cerveza Light 355 ml
$ 75.00,http://www.heb.com.mx/miller-lite-cerveza-six-pack-lata-355-ml-35630.html,MILLER LITE,Cerveza Six Pack Lata 355 ml
$ 99.00,http://www.heb.com.mx/miller-mgd-cerveza-six-pack-nr-355-ml-35634.html,MILLER MGD,Cerveza Six Pack Nr 355 ml
$ 30.00,http://www.heb.com.mx/miller-lite-cerveza-lite-946-ml-35652.html,MILLER LITE,Cerveza Lite 946 ml
$ 78.00,http://www.heb.com.mx/coors-light-cerveza-six-pack-lata-355-ml-35675.html,COORS LIGHT,Cerveza Six Pack Lata 355 ml
$ 87.00,http://www.heb.com.mx/sol-cerveza-clamato-six-pack-355-ml-366256.html,SOL,Cerveza Clamato Six Pack 355 ml
$ 50.00,http://www.heb.com.mx/minerva-cerveza-imperial-tequila-ale-ita-660-ml-371758.html,MINERVA,Cerveza Imperial Tequila Ale Ita 660 ml
$ 29.90,http://www.heb.com.mx/hoegaarden-cerveza-belgica-hoegaarden-330-ml-394442.html,HOEGAARDEN,Cerveza Belgica Hoegaarden 330 ml
$ 20.90,http://www.heb.com.mx/minerva-cerveza-minerva-pale-ale-355ml-355-ml-401544.html,MINERVA,Cerveza Minerva Pale Ale 355ml 355 ml
